Date,Stations_Cumulative,Ports_L2_Cumulative,Ports_DCFC_Cumulative
2008-02-29 23:59:59.999999999,1,2,0
2008-03-31 23:59:59.999999999,1,2,0
2008-04-30 23:59:59.999999999,1,2,0
2008-05-31 23:59:59.999999999,1,2,0
2008-06-30 23:59:59.999999999,1,2,0
2008-07-31 23:59:59.999999999,1,2,0
2008-08-31 23:59:59.999999999,1,2,0
2008-09-30 23:59:59.999999999,1,2,0
2008-10-31 23:59:59.999999999,1,2,0
2008-11-30 23:59:59.999999999,1,2,0
2008-12-31 23:59:59.999999999,1,2,0
2009-01-31 23:59:59.999999999,1,2,0
2009-02-28 23:59:59.999999999,1,2,0
2009-03-31 23:59:59.999999999,1,2,0
2009-04-30 23:59:59.999999999,1,2,0
2009-05-31 23:59:59.999999999,1,2,0
2009-06-30 23:59:59.999999999,1,2,0
2009-07-31 23:59:59.999999999,1,2,0
2009-08-31 23:59:59.999999999,1,2,0
2009-09-30 23:59:59.999999999,1,2,0
2009-10-31 23:59:59.999999999,1,2,0
2009-11-30 23:59:59.999999999,1,2,0
2009-12-31 23:59:59.999999999,1,2,0
2010-01-31 23:59:59.999999999,1,2,0
2010-02-28 23:59:59.999999999,1,2,0
2010-03-31 23:59:59.999999999,3,98,0
2010-04-30 23:59:59.999999999,5,106,0
2010-05-31 23:59:59.999999999,5,106,0
2010-06-30 23:59:59.999999999,5,106,0
2010-07-31 23:59:59.999999999,5,106,0
2010-08-31 23:59:59.999999999,5,106,0
2010-09-30 23:59:59.999999999,5,106,0
2010-10-31 23:59:59.999999999,5,106,0
2010-11-30 23:59:59.999999999,5,106,0
2010-12-31 23:59:59.999999999,7,109,1
2011-01-31 23:59:59.999999999,7,109,1
2011-02-28 23:59:59.999999999,7,109,1
2011-03-31 23:59:59.999999999,20,128,4
2011-04-30 23:59:59.999999999,20,128,4
2011-05-31 23:59:59.999999999,22,132,4
2011-06-30 23:59:59.999999999,22,132,4
2011-07-31 23:59:59.999999999,23,135,4
2011-08-31 23:59:59.999999999,23,135,4
2011-09-30 23:59:59.999999999,23,135,4
2011-10-31 23:59:59.999999999,26,139,4
2011-11-30 23:59:59.999999999,30,145,4
2011-12-31 23:59:59.999999999,41,232,4
2012-01-31 23:59:59.999999999,46,242,4
2012-02-29 23:59:59.999999999,49,250,4
2012-03-31 23:59:59.999999999,49,250,4
2012-04-30 23:59:59.999999999,49,250,4
2012-05-31 23:59:59.999999999,55,259,12
2012-06-30 23:59:59.999999999,61,267,14
2012-07-31 23:59:59.999999999,62,268,14
2012-08-31 23:59:59.999999999,63,269,16
2012-09-30 23:59:59.999999999,63,269,16
2012-10-31 23:59:59.999999999,64,271,16
2012-11-30 23:59:59.999999999,64,271,16
2012-12-31 23:59:59.999999999,64,271,16
2013-01-31 23:59:59.999999999,64,271,16
2013-02-28 23:59:59.999999999,65,275,16
2013-03-31 23:59:59.999999999,65,275,16
2013-04-30 23:59:59.999999999,65,275,16
2013-05-31 23:59:59.999999999,67,278,16
2013-06-30 23:59:59.999999999,70,282,46
2013-07-31 23:59:59.999999999,70,282,46
2013-08-31 23:59:59.999999999,70,282,46
2013-09-30 23:59:59.999999999,71,283,46
2013-10-31 23:59:59.999999999,73,285,46
2013-11-30 23:59:59.999999999,74,286,46
2013-12-31 23:59:59.999999999,76,290,51
2014-01-31 23:59:59.999999999,81,299,51
2014-02-28 23:59:59.999999999,83,303,51
2014-03-31 23:59:59.999999999,87,310,51
2014-04-30 23:59:59.999999999,88,311,51
2014-05-31 23:59:59.999999999,92,317,51
2014-06-30 23:59:59.999999999,94,317,56
2014-07-31 23:59:59.999999999,95,319,56
2014-08-31 23:59:59.999999999,102,329,56
2014-09-30 23:59:59.999999999,106,338,56
2014-10-31 23:59:59.999999999,110,345,56
2014-11-30 23:59:59.999999999,111,346,56
2014-12-31 23:59:59.999999999,116,354,56
2015-01-31 23:59:59.999999999,121,367,56
2015-02-28 23:59:59.999999999,125,374,56
2015-03-31 23:59:59.999999999,132,397,57
2015-04-30 23:59:59.999999999,140,421,57
2015-05-31 23:59:59.999999999,143,425,57
2015-06-30 23:59:59.999999999,146,430,57
2015-07-31 23:59:59.999999999,150,438,57
2015-08-31 23:59:59.999999999,154,442,65
2015-09-30 23:59:59.999999999,165,463,65
2015-10-31 23:59:59.999999999,172,486,65
2015-11-30 23:59:59.999999999,174,492,65
2015-12-31 23:59:59.999999999,179,508,65
2016-01-31 23:59:59.999999999,190,536,66
2016-02-29 23:59:59.999999999,197,545,79
2016-03-31 23:59:59.999999999,201,559,79
2016-04-30 23:59:59.999999999,202,561,79
2016-05-31 23:59:59.999999999,206,573,79
2016-06-30 23:59:59.999999999,208,579,79
2016-07-31 23:59:59.999999999,212,589,79
2016-08-31 23:59:59.999999999,220,611,79
2016-09-30 23:59:59.999999999,223,615,79
2016-10-31 23:59:59.999999999,224,616,79
2016-11-30 23:59:59.999999999,231,629,79
2016-12-31 23:59:59.999999999,235,638,79
2017-01-31 23:59:59.999999999,244,652,87
2017-02-28 23:59:59.999999999,249,664,87
2017-03-31 23:59:59.999999999,254,673,105
2017-04-30 23:59:59.999999999,266,712,105
2017-05-31 23:59:59.999999999,276,735,105
2017-06-30 23:59:59.999999999,278,741,105
2017-07-31 23:59:59.999999999,284,754,105
2017-08-31 23:59:59.999999999,290,768,105
2017-09-30 23:59:59.999999999,297,782,113
2017-10-31 23:59:59.999999999,301,789,113
2017-11-30 23:59:59.999999999,306,807,113
2017-12-31 23:59:59.999999999,310,821,113
2018-01-31 23:59:59.999999999,314,835,113
2018-02-28 23:59:59.999999999,316,841,113
2018-03-31 23:59:59.999999999,318,845,114
2018-04-30 23:59:59.999999999,323,856,114
2018-05-31 23:59:59.999999999,331,874,114
2018-06-30 23:59:59.999999999,341,912,115
2018-07-31 23:59:59.999999999,351,934,153
2018-08-31 23:59:59.999999999,359,947,159
2018-09-30 23:59:59.999999999,368,965,163
2018-10-31 23:59:59.999999999,380,1002,172
2018-11-30 23:59:59.999999999,381,1006,172
2018-12-31 23:59:59.999999999,394,1042,187
2019-01-31 23:59:59.999999999,403,1075,197
2019-02-28 23:59:59.999999999,422,1105,205
2019-03-31 23:59:59.999999999,426,1112,217
2019-04-30 23:59:59.999999999,438,1128,217
2019-05-31 23:59:59.999999999,452,1164,227
2019-06-30 23:59:59.999999999,466,1188,244
2019-07-31 23:59:59.999999999,473,1256,247
2019-08-31 23:59:59.999999999,484,1309,272
2019-09-30 23:59:59.999999999,487,1318,282
2019-10-31 23:59:59.999999999,497,1330,308
2019-11-30 23:59:59.999999999,508,1350,315
2019-12-31 23:59:59.999999999,515,1360,331
2020-01-31 23:59:59.999999999,520,1365,357
2020-02-29 23:59:59.999999999,524,1373,357
2020-03-31 23:59:59.999999999,533,1389,375
2020-04-30 23:59:59.999999999,545,1420,386
2020-05-31 23:59:59.999999999,547,1424,386
2020-06-30 23:59:59.999999999,558,1443,402
2020-07-31 23:59:59.999999999,586,1505,416
2020-08-31 23:59:59.999999999,605,1544,419
2020-09-30 23:59:59.999999999,612,1564,421
2020-10-31 23:59:59.999999999,619,1579,424
2020-11-30 23:59:59.999999999,633,1620,440
2020-12-31 23:59:59.999999999,652,1658,476
2021-01-31 23:59:59.999999999,854,1972,484
2021-02-28 23:59:59.999999999,862,1993,491
2021-03-31 23:59:59.999999999,895,2058,535
2021-04-30 23:59:59.999999999,914,2112,546
2021-05-31 23:59:59.999999999,920,2122,550
2021-06-30 23:59:59.999999999,936,2146,558
2021-07-31 23:59:59.999999999,943,2161,566
2021-08-31 23:59:59.999999999,1026,2318,571
2021-09-30 23:59:59.999999999,1044,2366,576
2021-10-31 23:59:59.999999999,1079,2433,580
2021-11-30 23:59:59.999999999,1086,2441,591
2021-12-31 23:59:59.999999999,1105,2489,593
2022-01-31 23:59:59.999999999,1134,2533,601
2022-02-28 23:59:59.999999999,1142,2543,610
