Date,Electric Vehicle (EV) Total,Stations_Cumulative,Ports_L2_Cumulative,Ports_DCFC_Cumulative
2017-01-31 23:59:59.999999999,22425,244,652,87
2017-02-28 23:59:59.999999999,23094,249,664,87
2017-03-31 23:59:59.999999999,23688,254,673,105
2017-04-30 23:59:59.999999999,24391,266,712,105
2017-05-31 23:59:59.999999999,25066,276,735,105
2017-06-30 23:59:59.999999999,25738,278,741,105
2017-07-31 23:59:59.999999999,26311,284,754,105
2017-08-31 23:59:59.999999999,26825,290,768,105
2017-09-30 23:59:59.999999999,27452,297,782,113
2017-10-31 23:59:59.999999999,28172,301,789,113
2017-11-30 23:59:59.999999999,28764,306,807,113
2017-12-31 23:59:59.999999999,29303,310,821,113
2018-01-31 23:59:59.999999999,30265,314,835,113
2018-02-28 23:59:59.999999999,30808,316,841,113
2018-03-31 23:59:59.999999999,31572,318,845,114
2018-04-30 23:59:59.999999999,32437,323,856,114
2018-05-31 23:59:59.999999999,33633,331,874,114
2018-06-30 23:59:59.999999999,34789,341,912,115
2018-07-31 23:59:59.999999999,35632,351,934,153
2018-08-31 23:59:59.999999999,36540,359,947,159
2018-09-30 23:59:59.999999999,37452,368,965,163
2018-10-31 23:59:59.999999999,39157,380,1002,172
2018-11-30 23:59:59.999999999,40799,381,1006,172
2018-12-31 23:59:59.999999999,42062,394,1042,187
2019-01-31 23:59:59.999999999,43834,403,1075,197
2019-02-28 23:59:59.999999999,44576,422,1105,205
2019-03-31 23:59:59.999999999,45064,426,1112,217
2019-04-30 23:59:59.999999999,46339,438,1128,217
2019-05-31 23:59:59.999999999,47301,452,1164,227
2019-06-30 23:59:59.999999999,48382,466,1188,244
2019-07-31 23:59:59.999999999,49629,473,1256,247
2019-08-31 23:59:59.999999999,50588,484,1309,272
2019-09-30 23:59:59.999999999,51592,487,1318,282
2019-10-31 23:59:59.999999999,53447,497,1330,308
2019-11-30 23:59:59.999999999,54075,508,1350,315
2019-12-31 23:59:59.999999999,54900,515,1360,331
2020-01-31 23:59:59.999999999,57154,520,1365,357
2020-02-29 23:59:59.999999999,57747,524,1373,357
2020-03-31 23:59:59.999999999,58623,533,1389,375
2020-04-30 23:59:59.999999999,58933,545,1420,386
2020-05-31 23:59:59.999999999,58944,547,1424,386
2020-06-30 23:59:59.999999999,59308,558,1443,402
2020-07-31 23:59:59.999999999,60843,586,1505,416
2020-08-31 23:59:59.999999999,61582,605,1544,419
2020-09-30 23:59:59.999999999,62364,612,1564,421
2020-10-31 23:59:59.999999999,63637,619,1579,424
2020-11-30 23:59:59.999999999,65168,633,1620,440
2020-12-31 23:59:59.999999999,66251,652,1658,476
2021-01-31 23:59:59.999999999,68151,854,1972,484
2021-02-28 23:59:59.999999999,69306,862,1993,491
2021-03-31 23:59:59.999999999,70486,895,2058,535
2021-04-30 23:59:59.999999999,72802,914,2112,546
2021-05-31 23:59:59.999999999,74444,920,2122,550
2021-06-30 23:59:59.999999999,76151,936,2146,558
2021-07-31 23:59:59.999999999,78607,943,2161,566
2021-08-31 23:59:59.999999999,80541,1026,2318,571
2021-09-30 23:59:59.999999999,82066,1044,2366,576
2021-10-31 23:59:59.999999999,84203,1079,2433,580
2021-11-30 23:59:59.999999999,86248,1086,2441,591
2021-12-31 23:59:59.999999999,88029,1105,2489,593
2022-01-31 23:59:59.999999999,89954,1134,2533,601
2022-02-28 23:59:59.999999999,91856,1142,2543,610
2022-03-31 23:59:59.999999999,93910,1172,2584,642
2022-04-30 23:59:59.999999999,96668,1190,2650,656
2022-05-31 23:59:59.999999999,98518,1201,2695,657
2022-06-30 23:59:59.999999999,100707,1222,2738,657
2022-07-31 23:59:59.999999999,103451,1237,2760,662
2022-08-31 23:59:59.999999999,106208,1252,2794,662
2022-09-30 23:59:59.999999999,108008,1275,2870,667
2022-10-31 23:59:59.999999999,111617,1329,2992,674
2022-11-30 23:59:59.999999999,115241,1349,3017,694
2022-12-31 23:59:59.999999999,118004,1365,3054,705
2023-01-31 23:59:59.999999999,121799,1386,3097,724
2023-02-28 23:59:59.999999999,124788,1408,3135,732
2023-03-31 23:59:59.999999999,128045,1430,3193,765
2023-04-30 23:59:59.999999999,132349,1468,3261,774
2023-05-31 23:59:59.999999999,136727,1480,3277,792
2023-06-30 23:59:59.999999999,141350,1582,3461,847
2023-07-31 23:59:59.999999999,145729,1630,3598,850
2023-08-31 23:59:59.999999999,152335,1663,3698,862
2023-09-30 23:59:59.999999999,156931,1746,3862,911
2023-10-31 23:59:59.999999999,162165,1798,3993,944
2023-11-30 23:59:59.999999999,166318,1832,4043,968
2023-12-31 23:59:59.999999999,170840,1848,4064,1024
2024-01-31 23:59:59.999999999,176635,1875,4102,1076
2024-02-29 23:59:59.999999999,181329,1893,4148,1095
2024-03-31 23:59:59.999999999,184920,1936,4221,1123
2024-04-30 23:59:59.999999999,189541,1978,4316,1181
2024-05-31 23:59:59.999999999,193924,2000,4351,1196
2024-06-30 23:59:59.999999999,197258,2044,4429,1230
2024-07-31 23:59:59.999999999,203030,2070,4535,1261
2024-08-31 23:59:59.999999999,209096,2144,4674,1313
2024-09-30 23:59:59.999999999,214680,2171,4730,1353
2024-10-31 23:59:59.999999999,220746,2216,4907,1392
2024-11-30 23:59:59.999999999,224977,2251,4965,1421
2024-12-31 23:59:59.999999999,229682,2281,5043,1471
2025-01-31 23:59:59.999999999,236654,2310,5106,1487
2025-02-28 23:59:59.999999999,240662,2350,5163,1512
2025-03-31 23:59:59.999999999,244396,2392,5229,1543
2025-04-30 23:59:59.999999999,250123,2439,5317,1581
2025-05-31 23:59:59.999999999,253519,2512,5440,1637
2025-06-30 23:59:59.999999999,257335,2572,5636,1674
2025-07-31 23:59:59.999999999,262778,2614,5695,1718
2025-08-31 23:59:59.999999999,267636,2687,6017,1739
2025-09-30 23:59:59.999999999,272053,2716,6076,1752
2025-10-31 23:59:59.999999999,277701,2751,6152,1789
2025-11-30 23:59:59.999999999,279998,2782,6201,1862
2025-12-31 23:59:59.999999999,281299,2827,6274,1866
2026-01-31 23:59:59.999999999,284176,2871,6356,1886
2026-02-28 23:59:59.999999999,285838,2974,6544,1893
2026-03-31 23:59:59.999999999,286245,3068,6733,2022
2026-04-30 23:59:59.999999999,288926,3195,7005,2091
2026-05-31 23:59:59.999999999,287763,3261,7114,2122
