Date,Electric Vehicle (EV) Total
2017-01-31,22425
2017-02-28,23094
2017-03-31,23688
2017-04-30,24391
2017-05-31,25066
2017-06-30,25738
2017-07-31,26311
2017-08-31,26825
2017-09-30,27452
2017-10-31,28172
2017-11-30,28764
2017-12-31,29303
2018-01-31,30265
2018-02-28,30808
2018-03-31,31572
2018-04-30,32437
2018-05-31,33633
2018-06-30,34789
2018-07-31,35632
2018-08-31,36540
2018-09-30,37452
2018-10-31,39157
2018-11-30,40799
2018-12-31,42062
2019-01-31,43834
2019-02-28,44576
2019-03-31,45064
2019-04-30,46339
2019-05-31,47301
2019-06-30,48382
2019-07-31,49629
2019-08-31,50588
2019-09-30,51592
2019-10-31,53447
2019-11-30,54075
2019-12-31,54900
2020-01-31,57154
2020-02-29,57747
2020-03-31,58623
2020-04-30,58933
2020-05-31,58944
2020-06-30,59308
2020-07-31,60843
2020-08-31,61582
2020-09-30,62364
2020-10-31,63637
2020-11-30,65168
2020-12-31,66251
2021-01-31,68151
2021-02-28,69306
2021-03-31,70486
2021-04-30,72802
2021-05-31,74444
2021-06-30,76151
2021-07-31,78607
2021-08-31,80541
2021-09-30,82066
2021-10-31,84203
2021-11-30,86248
2021-12-31,88029
2022-01-31,89954
2022-02-28,91856
2022-03-31,93910
2022-04-30,96668
2022-05-31,98518
2022-06-30,100707
2022-07-31,103451
2022-08-31,106208
2022-09-30,108008
2022-10-31,111617
2022-11-30,115241
2022-12-31,118004
2023-01-31,121799
2023-02-28,124788
2023-03-31,128045
2023-04-30,132349
2023-05-31,136727
2023-06-30,141350
2023-07-31,145729
2023-08-31,152335
2023-09-30,156931
2023-10-31,162165
2023-11-30,166318
2023-12-31,170840
2024-01-31,176635
2024-02-29,181329
2024-03-31,184920
2024-04-30,189541
2024-05-31,193924
2024-06-30,197258
2024-07-31,203030
2024-08-31,209096
2024-09-30,214680
2024-10-31,220746
2024-11-30,224977
2024-12-31,229682
2025-01-31,236654
2025-02-28,240662
2025-03-31,244396
2025-04-30,250123
2025-05-31,253519
2025-06-30,257335
2025-07-31,262778
2025-08-31,267636
2025-09-30,272053
2025-10-31,277701
2025-11-30,279998
2025-12-31,281299
2026-01-31,284176
2026-02-28,285838
2026-03-31,286245
2026-04-30,288926
2026-05-31,287763
